item_id,system,latent_quality,ambiguity,difficulty_stratum,fluent_but_wrong,response_tokens,human_score,human_correct,_note
it0000,model-A,0.7948,0.3557,Q2,False,199,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0001,model-A,0.632,0.4993,Q3,False,257,6.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0002,model-A,0.6405,0.1981,Q1 clearest,True,323,7.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0003,model-A,0.9257,0.5197,Q3,True,351,10.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0004,model-A,0.6969,0.5186,Q3,False,307,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0005,model-A,0.6025,0.2726,Q1 clearest,False,324,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0006,model-A,0.5885,0.5816,Q4 most ambiguous,False,287,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0007,model-A,0.6406,0.6415,Q4 most ambiguous,False,234,6.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0008,model-A,0.5957,0.5987,Q4 most ambiguous,False,294,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0009,model-A,0.7057,0.6954,Q4 most ambiguous,True,448,8.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0010,model-A,0.7323,0.381,Q2,True,382,9.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0011,model-A,0.5247,0.4392,Q3,False,193,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0012,model-A,0.9169,0.2468,Q1 clearest,False,267,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0013,model-A,0.9018,0.3883,Q2,False,299,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0014,model-A,0.5443,0.9169,Q4 most ambiguous,False,298,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0015,model-A,0.5702,0.4372,Q3,False,318,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0016,model-A,0.8353,0.3284,Q2,False,329,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0017,model-A,0.6606,0.7989,Q4 most ambiguous,False,172,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0018,model-A,0.8324,0.4078,Q2,False,379,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0019,model-A,0.9208,0.3738,Q2,False,104,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0020,model-A,0.5007,0.7069,Q4 most ambiguous,False,181,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0021,model-A,0.8195,0.6823,Q4 most ambiguous,False,237,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0022,model-A,0.3436,0.5589,Q4 most ambiguous,True,327,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0023,model-A,0.4794,0.5435,Q3,False,275,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0024,model-A,0.8095,0.529,Q3,False,307,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0025,model-A,0.7993,0.2064,Q1 clearest,False,300,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0026,model-A,0.691,0.5049,Q3,False,263,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0027,model-A,0.5927,0.5171,Q3,False,247,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0028,model-A,0.4895,0.434,Q3,False,326,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
