item_id,run,judge,judge_score,judge_score_recovered,was_blank,equivalent,system,latent_quality,ambiguity,difficulty_stratum,fluent_but_wrong,response_tokens,human_score,human_correct
it0000,1,hosted-judge-v1,8.0,8.0,False,True,model-A,0.7948,0.3557,Q2,False,199,7.0,True
it0001,1,hosted-judge-v1,7.0,7.0,False,True,model-A,0.632,0.4993,Q3,False,257,6.0,True
it0002,1,hosted-judge-v1,9.0,9.0,False,False,model-A,0.6405,0.1981,Q1 clearest,True,323,7.0,False
it0003,1,hosted-judge-v1,10.0,10.0,False,False,model-A,0.9257,0.5197,Q3,True,351,10.0,False
it0004,1,hosted-judge-v1,,7.0,True,True,model-A,0.6969,0.5186,Q3,False,307,7.0,True
it0005,1,hosted-judge-v1,6.0,6.0,False,False,model-A,0.6025,0.2726,Q1 clearest,False,324,6.0,False
it0006,1,hosted-judge-v1,7.0,7.0,False,False,model-A,0.5885,0.5816,Q4 most ambiguous,False,287,6.0,False
it0007,1,hosted-judge-v1,,5.0,True,True,model-A,0.6406,0.6415,Q4 most ambiguous,False,234,6.0,True
it0008,1,hosted-judge-v1,,6.0,True,False,model-A,0.5957,0.5987,Q4 most ambiguous,False,294,5.0,False
it0009,1,hosted-judge-v1,8.0,8.0,False,False,model-A,0.7057,0.6954,Q4 most ambiguous,True,448,8.0,False
it0010,1,hosted-judge-v1,,8.0,True,False,model-A,0.7323,0.381,Q2,True,382,9.0,False
it0011,1,hosted-judge-v1,6.0,6.0,False,False,model-A,0.5247,0.4392,Q3,False,193,4.0,False
it0012,1,hosted-judge-v1,8.0,8.0,False,True,model-A,0.9169,0.2468,Q1 clearest,False,267,9.0,True
it0013,1,hosted-judge-v1,8.0,8.0,False,True,model-A,0.9018,0.3883,Q2,False,299,9.0,True
it0014,1,hosted-judge-v1,,,True,False,model-A,0.5443,0.9169,Q4 most ambiguous,False,298,6.0,False
it0015,1,hosted-judge-v1,6.0,6.0,False,False,model-A,0.5702,0.4372,Q3,False,318,6.0,False
it0016,1,hosted-judge-v1,7.0,7.0,False,True,model-A,0.8353,0.3284,Q2,False,329,8.0,True
it0017,1,hosted-judge-v1,8.0,8.0,False,True,model-A,0.6606,0.7989,Q4 most ambiguous,False,172,7.0,True
it0018,1,hosted-judge-v1,8.0,8.0,False,True,model-A,0.8324,0.4078,Q2,False,379,9.0,True
it0019,1,hosted-judge-v1,7.0,7.0,False,False,model-A,0.9208,0.3738,Q2,False,104,8.0,True
it0020,1,hosted-judge-v1,,7.0,True,False,model-A,0.5007,0.7069,Q4 most ambiguous,False,181,4.0,False
it0021,1,hosted-judge-v1,,6.0,True,True,model-A,0.8195,0.6823,Q4 most ambiguous,False,237,8.0,True
it0022,1,hosted-judge-v1,7.0,7.0,False,False,model-A,0.3436,0.5589,Q4 most ambiguous,True,327,4.0,False
it0023,1,hosted-judge-v1,4.0,4.0,False,True,model-A,0.4794,0.5435,Q3,False,275,4.0,False
it0024,1,hosted-judge-v1,7.0,7.0,False,True,model-A,0.8095,0.529,Q3,False,307,9.0,True
it0025,1,hosted-judge-v1,7.0,7.0,False,True,model-A,0.7993,0.2064,Q1 clearest,False,300,9.0,True
it0026,1,hosted-judge-v1,5.0,5.0,False,True,model-A,0.691,0.5049,Q3,False,263,8.0,True
it0027,1,hosted-judge-v1,6.0,6.0,False,False,model-A,0.5927,0.5171,Q3,False,247,6.0,False
it0028,1,hosted-judge-v1,6.0,6.0,False,False,model-A,0.4895,0.434,Q3,False,326,4.0,False
it0029,1,hosted-judge-v1,7.0,7.0,False,True,model-A,0.7063,0.4121,Q3,False,248,6.0,True
it0030,1,hosted-judge-v1,7.0,7.0,False,True,model-A,0.7778,0.1953,Q1 clearest,False,234,8.0,True
it0031,1,hosted-judge-v1,6.0,6.0,False,True,model-A,0.7014,0.3431,Q2,False,178,8.0,True
it0032,1,hosted-judge-v1,,,True,True,model-A,0.6463,0.7637,Q4 most ambiguous,False,338,7.0,True
it0033,1,hosted-judge-v1,7.0,7.0,False,False,model-A,0.5451,0.6162,Q4 most ambiguous,False,220,7.0,False
it0034,1,hosted-judge-v1,4.0,4.0,False,False,model-A,0.4283,0.1516,Q1 clearest,False,298,5.0,False
it0035,1,hosted-judge-v1,5.0,5.0,False,False,model-A,0.5204,0.4941,Q3,False,244,7.0,False
it0036,1,hosted-judge-v1,6.0,6.0,False,False,model-A,0.5255,0.3944,Q2,False,243,4.0,False
it0037,1,hosted-judge-v1,5.0,5.0,False,True,model-A,0.4307,0.3233,Q2,True,382,6.0,False
it0038,1,hosted-judge-v1,8.0,8.0,False,True,model-A,0.7118,0.3058,Q2,False,237,7.0,True
it0039,1,hosted-judge-v1,5.0,5.0,False,True,model-A,0.6342,0.4514,Q3,False,249,6.0,True
it0040,1,hosted-judge-v1,7.0,7.0,False,True,model-A,0.6527,0.3832,Q2,False,287,6.0,True
it0041,1,hosted-judge-v1,8.0,8.0,False,True,model-A,0.7262,0.7115,Q4 most ambiguous,True,363,8.0,False
it0042,1,hosted-judge-v1,,6.0,True,False,model-A,0.966,0.774,Q4 most ambiguous,True,421,10.0,False
it0043,1,hosted-judge-v1,7.0,7.0,False,True,model-A,0.6944,0.5909,Q4 most ambiguous,False,256,7.0,True
it0044,1,hosted-judge-v1,10.0,10.0,False,False,model-A,0.8329,0.4364,Q3,True,300,10.0,False
it0045,1,hosted-judge-v1,7.0,7.0,False,False,model-A,0.6258,0.3959,Q2,True,350,8.0,False
it0046,1,hosted-judge-v1,5.0,5.0,False,False,model-A,0.5061,0.2637,Q1 clearest,False,211,5.0,False
it0047,1,hosted-judge-v1,,6.0,True,True,model-A,0.7037,0.5256,Q3,False,272,7.0,True
it0048,1,hosted-judge-v1,8.0,8.0,False,False,model-A,0.8245,0.2605,Q1 clearest,True,365,9.0,False
it0049,1,hosted-judge-v1,9.0,9.0,False,True,model-A,0.8038,0.1121,Q1 clearest,False,322,9.0,True
it0050,1,hosted-judge-v1,4.0,4.0,False,False,model-A,0.5521,0.5231,Q3,False,198,5.0,False
it0051,1,hosted-judge-v1,6.0,6.0,False,True,model-A,0.8727,0.4868,Q3,False,288,8.0,True
it0052,1,hosted-judge-v1,8.0,8.0,False,False,model-A,0.5836,0.508,Q3,False,261,5.0,False
it0053,1,hosted-judge-v1,7.0,7.0,False,True,model-A,0.7097,0.2212,Q1 clearest,False,313,6.0,True
it0054,1,hosted-judge-v1,,5.0,True,False,model-A,0.4686,0.59,Q4 most ambiguous,False,254,4.0,False
it0055,1,hosted-judge-v1,5.0,5.0,False,True,model-A,0.6329,0.3627,Q2,False,342,7.0,True
it0056,1,hosted-judge-v1,,,True,False,model-A,0.4681,0.8925,Q4 most ambiguous,False,358,5.0,False
it0057,1,hosted-judge-v1,10.0,10.0,False,True,model-A,0.6535,0.5679,Q4 most ambiguous,False,218,7.0,True
it0058,1,hosted-judge-v1,5.0,5.0,False,True,model-A,0.6249,0.3171,Q2,False,222,7.0,True
it0059,1,hosted-judge-v1,7.0,7.0,False,False,model-A,0.5135,0.3526,Q2,False,309,5.0,False
it0060,1,hosted-judge-v1,6.0,6.0,False,False,model-A,0.5381,0.4798,Q3,False,192,5.0,False
it0061,1,hosted-judge-v1,6.0,6.0,False,False,model-A,0.6095,0.3661,Q2,False,365,7.0,False
it0062,1,hosted-judge-v1,9.0,9.0,False,False,model-A,0.9565,0.5911,Q4 most ambiguous,True,470,9.0,False
it0063,1,hosted-judge-v1,7.0,7.0,False,True,model-A,0.9179,0.37,Q2,False,245,10.0,True
it0064,1,hosted-judge-v1,9.0,9.0,False,False,model-A,0.7251,0.3038,Q2,True,369,8.0,False
it0065,1,hosted-judge-v1,6.0,6.0,False,True,model-A,0.6423,0.2483,Q1 clearest,False,260,7.0,True
it0066,1,hosted-judge-v1,9.0,9.0,False,True,model-A,0.6318,0.3495,Q2,True,439,7.0,False
it0067,1,hosted-judge-v1,7.0,7.0,False,True,model-A,0.6346,0.3468,Q2,False,345,6.0,True
it0068,1,hosted-judge-v1,7.0,7.0,False,True,model-A,0.8054,0.2309,Q1 clearest,False,228,9.0,True
it0069,1,hosted-judge-v1,8.0,8.0,False,True,model-A,0.9065,0.0673,Q1 clearest,False,198,9.0,True
it0070,1,hosted-judge-v1,9.0,9.0,False,True,model-A,0.9149,0.0887,Q1 clearest,False,275,10.0,True
it0071,1,hosted-judge-v1,,10.0,True,False,model-A,0.7796,0.7725,Q4 most ambiguous,True,411,9.0,False
it0072,1,hosted-judge-v1,,,True,False,model-A,0.5291,0.8481,Q4 most ambiguous,True,431,6.0,False
it0073,1,hosted-judge-v1,,5.0,True,False,model-A,0.4449,0.4367,Q3,False,220,3.0,False
it0074,1,hosted-judge-v1,6.0,6.0,False,True,model-A,0.6389,0.2507,Q1 clearest,False,266,6.0,True
it0075,1,hosted-judge-v1,9.0,9.0,False,True,model-A,0.8912,0.0395,Q1 clearest,False,286,10.0,True
