order_id,dish,complaint,photo,agent_decision,refund_amount_sgd,human_score,human_correct,confusing_photo,fluent_but_wrong
ORD-40000,chicken rice,wrong size,photos/ord-40000.jpg,refund,23.34,7.0,True,mostly clear,False
ORD-40007,fish soup,missing side,photos/ord-40007.jpg,refund,11.86,6.0,True,hard to read,False
ORD-40014,mee goreng,packaging crushed,photos/ord-40014.jpg,refund,21.04,7.0,False,clear photo,True
ORD-40021,hokkien mee,cold on arrival,photos/ord-40021.jpg,refund,19.58,10.0,False,hard to read,True
ORD-40028,char kway teow,wrong size,photos/ord-40028.jpg,refund,27.15,7.0,True,hard to read,False
ORD-40035,carrot cake,spilled in transit,photos/ord-40035.jpg,escalate,21.49,6.0,False,clear photo,False
ORD-40042,roti prata,missing side,photos/ord-40042.jpg,escalate,24.08,6.0,False,barely readable,False
ORD-40049,wanton mee,packaging crushed,photos/ord-40049.jpg,refund,8.62,6.0,True,barely readable,False
ORD-40056,char kway teow,looks nothing like the photo,photos/ord-40056.jpg,escalate,5.5,5.0,False,barely readable,False
ORD-40063,mee goreng,spilled in transit,photos/ord-40063.jpg,refund,22.47,8.0,False,barely readable,True
ORD-40070,curry puff,packaging crushed,photos/ord-40070.jpg,refund,21.82,9.0,False,mostly clear,True
ORD-40077,carrot cake,spilled in transit,photos/ord-40077.jpg,escalate,7.75,4.0,False,hard to read,False
ORD-40084,satay set,missing side,photos/ord-40084.jpg,refund,16.36,9.0,True,clear photo,False
ORD-40091,chai tow kway,wrong item,photos/ord-40091.jpg,refund,8.29,9.0,True,mostly clear,False
ORD-40098,chai tow kway,wrong item,photos/ord-40098.jpg,escalate,26.55,6.0,False,barely readable,False
ORD-40105,bak chor mee,wrong size,photos/ord-40105.jpg,escalate,22.78,6.0,False,hard to read,False
ORD-40112,chai tow kway,missing side,photos/ord-40112.jpg,refund,24.06,8.0,True,mostly clear,False
ORD-40119,bak chor mee,looks nothing like the photo,photos/ord-40119.jpg,refund,11.51,7.0,True,barely readable,False
ORD-40126,char kway teow,cold on arrival,photos/ord-40126.jpg,refund,18.83,9.0,True,mostly clear,False
ORD-40133,chicken rice,looks nothing like the photo,photos/ord-40133.jpg,refund,23.05,8.0,True,mostly clear,False
ORD-40140,roti prata,packaging crushed,photos/ord-40140.jpg,escalate,4.97,4.0,False,barely readable,False
ORD-40147,wanton mee,wrong item,photos/ord-40147.jpg,refund,15.58,8.0,True,barely readable,False
ORD-40154,mee goreng,wrong item,photos/ord-40154.jpg,refund,18.62,4.0,False,barely readable,True
ORD-40161,fish soup,wrong item,photos/ord-40161.jpg,escalate,6.81,4.0,False,hard to read,False
ORD-40168,nasi lemak,cold on arrival,photos/ord-40168.jpg,refund,9.59,9.0,True,hard to read,False
ORD-40175,hokkien mee,missing side,photos/ord-40175.jpg,refund,23.21,9.0,True,clear photo,False
ORD-40182,char kway teow,packaging crushed,photos/ord-40182.jpg,refund,27.95,8.0,True,hard to read,False
ORD-40189,satay set,cold on arrival,photos/ord-40189.jpg,escalate,14.3,6.0,False,hard to read,False
ORD-40196,carrot cake,looks nothing like the photo,photos/ord-40196.jpg,escalate,16.39,4.0,False,hard to read,False
ORD-40203,curry puff,wrong item,photos/ord-40203.jpg,refund,21.73,6.0,True,hard to read,False
ORD-40210,satay set,cold on arrival,photos/ord-40210.jpg,refund,6.27,8.0,True,clear photo,False
ORD-40217,roti prata,packaging crushed,photos/ord-40217.jpg,refund,15.12,8.0,True,mostly clear,False
ORD-40224,nasi lemak,packaging crushed,photos/ord-40224.jpg,refund,6.77,7.0,True,barely readable,False
ORD-40231,curry puff,packaging crushed,photos/ord-40231.jpg,escalate,9.41,7.0,False,barely readable,False
ORD-40238,chai tow kway,spilled in transit,photos/ord-40238.jpg,escalate,11.41,5.0,False,clear photo,False
ORD-40245,mee goreng,wrong size,photos/ord-40245.jpg,escalate,25.97,7.0,False,hard to read,False
ORD-40252,laksa,cold on arrival,photos/ord-40252.jpg,escalate,27.99,4.0,False,mostly clear,False
ORD-40259,chicken rice,spilled in transit,photos/ord-40259.jpg,refund,22.45,6.0,False,mostly clear,True
ORD-40266,laksa,wrong item,photos/ord-40266.jpg,refund,5.28,7.0,True,mostly clear,False
ORD-40273,bak chor mee,looks nothing like the photo,photos/ord-40273.jpg,refund,26.73,6.0,True,hard to read,False
ORD-40280,chai tow kway,missing side,photos/ord-40280.jpg,refund,22.27,6.0,True,mostly clear,False
ORD-40287,curry puff,wrong item,photos/ord-40287.jpg,refund,15.4,8.0,False,barely readable,True
ORD-40294,mee goreng,cold on arrival,photos/ord-40294.jpg,refund,8.81,10.0,False,barely readable,True
ORD-40301,chai tow kway,wrong size,photos/ord-40301.jpg,refund,7.42,7.0,True,barely readable,False
ORD-40308,chicken rice,spilled in transit,photos/ord-40308.jpg,refund,10.88,10.0,False,hard to read,True
ORD-40315,char kway teow,packaging crushed,photos/ord-40315.jpg,refund,17.4,8.0,False,mostly clear,True
ORD-40322,fish soup,cold on arrival,photos/ord-40322.jpg,escalate,18.78,5.0,False,clear photo,False
ORD-40329,bak chor mee,missing side,photos/ord-40329.jpg,refund,8.72,7.0,True,hard to read,False
ORD-40336,satay set,missing side,photos/ord-40336.jpg,refund,13.93,9.0,False,clear photo,True
ORD-40343,curry puff,wrong item,photos/ord-40343.jpg,refund,26.13,9.0,True,clear photo,False
ORD-40350,bak chor mee,cold on arrival,photos/ord-40350.jpg,escalate,7.01,5.0,False,hard to read,False
ORD-40357,roti prata,wrong item,photos/ord-40357.jpg,refund,20.56,8.0,True,hard to read,False
ORD-40364,chicken rice,looks nothing like the photo,photos/ord-40364.jpg,escalate,23.31,5.0,False,hard to read,False
ORD-40371,nasi lemak,cold on arrival,photos/ord-40371.jpg,refund,24.2,6.0,True,clear photo,False
ORD-40378,mee goreng,wrong size,photos/ord-40378.jpg,escalate,5.57,4.0,False,barely readable,False
ORD-40385,hokkien mee,packaging crushed,photos/ord-40385.jpg,refund,9.91,7.0,True,mostly clear,False
ORD-40392,wanton mee,packaging crushed,photos/ord-40392.jpg,escalate,18.09,5.0,False,barely readable,False
ORD-40399,bak chor mee,looks nothing like the photo,photos/ord-40399.jpg,refund,17.69,7.0,True,barely readable,False
ORD-40406,curry puff,spilled in transit,photos/ord-40406.jpg,refund,12.14,7.0,True,mostly clear,False
ORD-40413,curry puff,missing side,photos/ord-40413.jpg,escalate,19.82,5.0,False,mostly clear,False
ORD-40420,char kway teow,missing side,photos/ord-40420.jpg,escalate,12.28,5.0,False,hard to read,False
ORD-40427,fish soup,missing side,photos/ord-40427.jpg,escalate,27.58,7.0,False,mostly clear,False
ORD-40434,curry puff,looks nothing like the photo,photos/ord-40434.jpg,refund,8.4,9.0,False,barely readable,True
ORD-40441,fish soup,cold on arrival,photos/ord-40441.jpg,refund,14.81,10.0,True,mostly clear,False
ORD-40448,carrot cake,looks nothing like the photo,photos/ord-40448.jpg,refund,16.6,8.0,False,mostly clear,True
ORD-40455,satay set,cold on arrival,photos/ord-40455.jpg,refund,27.82,7.0,True,clear photo,False
ORD-40462,wanton mee,wrong item,photos/ord-40462.jpg,refund,15.84,7.0,False,mostly clear,True
ORD-40469,curry puff,spilled in transit,photos/ord-40469.jpg,refund,26.97,6.0,True,mostly clear,False
ORD-40476,laksa,missing side,photos/ord-40476.jpg,refund,25.69,9.0,True,clear photo,False
ORD-40483,chai tow kway,wrong item,photos/ord-40483.jpg,refund,6.64,9.0,True,clear photo,False
ORD-40490,mee goreng,packaging crushed,photos/ord-40490.jpg,refund,19.93,10.0,True,clear photo,False
ORD-40497,fish soup,wrong size,photos/ord-40497.jpg,refund,11.62,9.0,False,barely readable,True
ORD-40504,satay set,packaging crushed,photos/ord-40504.jpg,refund,22.28,6.0,False,barely readable,True
ORD-40511,satay set,wrong item,photos/ord-40511.jpg,escalate,19.18,3.0,False,hard to read,False
ORD-40518,wanton mee,looks nothing like the photo,photos/ord-40518.jpg,refund,26.8,6.0,True,clear photo,False
ORD-40525,laksa,spilled in transit,photos/ord-40525.jpg,refund,23.78,10.0,True,clear photo,False
ORD-40532,wanton mee,wrong item,photos/ord-40532.jpg,refund,24.81,8.0,True,mostly clear,False
ORD-40539,kaya toast,missing side,photos/ord-40539.jpg,refund,26.29,9.0,True,clear photo,False
ORD-40546,fish soup,looks nothing like the photo,photos/ord-40546.jpg,refund,7.18,10.0,True,mostly clear,False
ORD-40553,hokkien mee,packaging crushed,photos/ord-40553.jpg,reject,9.49,3.0,False,barely readable,False
ORD-40560,mee goreng,spilled in transit,photos/ord-40560.jpg,refund,27.93,6.0,True,mostly clear,False
ORD-40567,chicken rice,missing side,photos/ord-40567.jpg,escalate,10.56,4.0,False,mostly clear,False
ORD-40574,curry puff,packaging crushed,photos/ord-40574.jpg,refund,23.03,7.0,True,hard to read,False
ORD-40581,carrot cake,looks nothing like the photo,photos/ord-40581.jpg,refund,5.83,6.0,True,hard to read,False
ORD-40588,char kway teow,spilled in transit,photos/ord-40588.jpg,refund,4.57,8.0,False,clear photo,True
ORD-40595,chai tow kway,wrong item,photos/ord-40595.jpg,refund,20.38,8.0,True,clear photo,False
ORD-40602,char kway teow,wrong item,photos/ord-40602.jpg,escalate,27.91,6.0,False,clear photo,False
ORD-40609,kaya toast,looks nothing like the photo,photos/ord-40609.jpg,refund,22.4,7.0,True,clear photo,False
ORD-40616,char kway teow,looks nothing like the photo,photos/ord-40616.jpg,escalate,16.85,5.0,False,barely readable,False
ORD-40623,char kway teow,looks nothing like the photo,photos/ord-40623.jpg,refund,5.5,9.0,True,clear photo,False
ORD-40630,char kway teow,cold on arrival,photos/ord-40630.jpg,refund,22.78,10.0,False,mostly clear,True
ORD-40637,mee goreng,spilled in transit,photos/ord-40637.jpg,refund,11.61,7.0,True,mostly clear,False
ORD-40644,curry puff,packaging crushed,photos/ord-40644.jpg,refund,20.66,9.0,False,hard to read,True
ORD-40651,wanton mee,wrong size,photos/ord-40651.jpg,refund,13.24,7.0,True,hard to read,False
ORD-40658,carrot cake,looks nothing like the photo,photos/ord-40658.jpg,refund,16.76,8.0,True,clear photo,False
ORD-40665,chai tow kway,spilled in transit,photos/ord-40665.jpg,refund,26.18,8.0,True,barely readable,False
ORD-40672,satay set,wrong item,photos/ord-40672.jpg,refund,12.92,10.0,False,mostly clear,True
ORD-40679,roti prata,packaging crushed,photos/ord-40679.jpg,refund,21.42,9.0,True,mostly clear,False
ORD-40686,laksa,missing side,photos/ord-40686.jpg,escalate,16.0,6.0,False,clear photo,False
ORD-40693,mee goreng,cold on arrival,photos/ord-40693.jpg,refund,4.89,9.0,False,mostly clear,True
ORD-40700,mee goreng,looks nothing like the photo,photos/ord-40700.jpg,refund,20.82,7.0,True,clear photo,False
ORD-40707,mee goreng,cold on arrival,photos/ord-40707.jpg,escalate,26.92,5.0,False,barely readable,False
ORD-40714,satay set,wrong size,photos/ord-40714.jpg,refund,20.97,8.0,False,hard to read,True
ORD-40721,char kway teow,looks nothing like the photo,photos/ord-40721.jpg,escalate,12.77,7.0,False,clear photo,False
ORD-40728,fish soup,missing side,photos/ord-40728.jpg,escalate,26.48,3.0,False,mostly clear,False
ORD-40735,curry puff,missing side,photos/ord-40735.jpg,refund,5.59,5.0,False,clear photo,True
ORD-40742,kaya toast,packaging crushed,photos/ord-40742.jpg,refund,7.76,10.0,True,mostly clear,False
ORD-40749,curry puff,missing side,photos/ord-40749.jpg,escalate,14.35,4.0,False,mostly clear,False
ORD-40756,wanton mee,cold on arrival,photos/ord-40756.jpg,escalate,11.05,6.0,False,clear photo,False
ORD-40763,kaya toast,packaging crushed,photos/ord-40763.jpg,escalate,18.3,6.0,False,clear photo,False
ORD-40770,roti prata,missing side,photos/ord-40770.jpg,escalate,27.53,6.0,False,mostly clear,False
ORD-40777,laksa,packaging crushed,photos/ord-40777.jpg,refund,5.19,7.0,True,clear photo,False
ORD-40784,chai tow kway,looks nothing like the photo,photos/ord-40784.jpg,refund,9.21,9.0,True,clear photo,False
ORD-40791,bak chor mee,wrong size,photos/ord-40791.jpg,escalate,23.27,6.0,False,hard to read,False
ORD-40798,curry puff,cold on arrival,photos/ord-40798.jpg,refund,8.24,7.0,True,clear photo,False
ORD-40805,satay set,missing side,photos/ord-40805.jpg,refund,19.46,8.0,True,hard to read,False
ORD-40812,bak chor mee,spilled in transit,photos/ord-40812.jpg,escalate,4.76,5.0,False,barely readable,False
ORD-40819,chai tow kway,wrong item,photos/ord-40819.jpg,escalate,27.51,5.0,False,hard to read,False
ORD-40826,hokkien mee,packaging crushed,photos/ord-40826.jpg,refund,18.76,8.0,True,mostly clear,False
ORD-40833,carrot cake,wrong size,photos/ord-40833.jpg,refund,21.41,6.0,True,barely readable,False
ORD-40840,fish soup,spilled in transit,photos/ord-40840.jpg,refund,4.03,7.0,False,mostly clear,True
