pair_id,item_a,item_b,quality_gap,true_winner,winner_ab,winner_ba
pr0000,it0076,it0281,-0.1503,B,B,A
pr0001,it0128,it0585,-0.497,B,B,B
pr0002,it0085,it0109,0.2425,A,A,A
pr0003,it0211,it0228,0.0864,A,A,A
pr0004,it0303,it0428,0.0701,A,A,A
pr0005,it0178,it0197,-0.3093,B,B,B
pr0006,it0494,it0280,0.0598,A,A,B
pr0007,it0327,it0014,-0.1289,B,B,A
pr0008,it0531,it0204,-0.5063,B,B,B
pr0009,it0120,it0269,0.1241,A,A,A
pr0010,it0412,it0489,0.0564,A,A,B
pr0011,it0356,it0257,0.2106,A,B,B
pr0012,it0337,it0078,-0.0274,B,B,B
pr0013,it0558,it0553,0.0696,A,A,A
pr0014,it0430,it0168,-0.3569,B,B,A
pr0015,it0165,it0096,0.0034,A,B,B
pr0016,it0536,it0579,-0.3936,B,A,B
pr0017,it0321,it0390,0.2374,A,B,A
pr0018,it0475,it0146,-0.3525,B,B,B
pr0019,it0192,it0274,-0.2676,B,B,B
pr0020,it0567,it0152,-0.0578,B,B,B
pr0021,it0413,it0549,-0.1565,B,B,B
pr0022,it0255,it0331,-0.124,B,A,B
pr0023,it0027,it0138,0.1114,A,A,A
pr0024,it0593,it0268,0.2042,A,A,A
pr0025,it0329,it0249,0.0769,A,A,A
pr0026,it0514,it0034,0.2409,A,A,A
pr0027,it0428,it0284,0.183,A,A,A
pr0028,it0257,it0053,-0.2257,B,A,B
pr0029,it0362,it0542,-0.2008,B,B,B
pr0030,it0210,it0475,0.3473,A,B,B
pr0031,it0399,it0268,0.3157,A,A,A
pr0032,it0120,it0513,0.2292,A,A,A
pr0033,it0265,it0043,-0.3502,B,A,B
pr0034,it0206,it0421,-0.0633,B,B,A
pr0035,it0247,it0012,-0.0991,B,B,B
pr0036,it0086,it0182,-0.1885,B,B,B
pr0037,it0235,it0008,0.1826,A,A,A
pr0038,it0299,it0029,0.1643,A,A,A
pr0039,it0324,it0202,0.0858,A,A,A
pr0040,it0051,it0568,0.1157,A,A,B
pr0041,it0515,it0410,0.0711,A,A,B
pr0042,it0549,it0231,0.1019,A,B,B
pr0043,it0250,it0581,0.034,A,A,A
pr0044,it0059,it0306,-0.2523,B,A,B
pr0045,it0158,it0082,-0.1367,B,A,B
pr0046,it0022,it0484,0.0517,A,B,B
pr0047,it0140,it0422,0.1971,A,A,B
pr0048,it0485,it0206,-0.0498,B,B,B
pr0049,it0254,it0423,0.2743,A,A,A
pr0050,it0071,it0562,0.4675,A,A,A
pr0051,it0194,it0053,-0.0129,B,B,A
pr0052,it0125,it0200,0.0144,A,A,A
pr0053,it0453,it0400,-0.0534,B,A,A
pr0054,it0574,it0186,-0.1804,B,B,B
pr0055,it0574,it0160,-0.1041,B,A,B
pr0056,it0034,it0282,-0.3449,B,B,B
pr0057,it0026,it0215,-0.2073,B,B,B
pr0058,it0404,it0238,-0.0455,B,B,A
pr0059,it0394,it0244,0.1455,A,B,B
pr0060,it0045,it0259,0.0553,A,A,A
pr0061,it0109,it0530,-0.0597,B,B,B
pr0062,it0361,it0168,-0.2339,B,B,B
pr0063,it0353,it0430,-0.158,B,A,B
pr0064,it0160,it0036,0.1513,A,A,B
pr0065,it0568,it0091,0.0106,A,A,B
pr0066,it0255,it0210,-0.2085,B,A,B
pr0067,it0218,it0578,-0.0211,B,A,B
pr0068,it0196,it0069,-0.1845,B,A,B
pr0069,it0104,it0541,-0.2134,B,A,B
pr0070,it0497,it0290,-0.2217,B,B,B
pr0071,it0254,it0589,0.4201,A,A,A
pr0072,it0478,it0209,-0.3416,B,B,B
pr0073,it0058,it0137,-0.2345,B,A,B
pr0074,it0486,it0537,-0.1751,B,B,B
pr0075,it0037,it0252,-0.373,B,B,B
pr0076,it0552,it0213,0.0211,A,A,A
pr0077,it0244,it0378,-0.2786,B,B,B
pr0078,it0254,it0354,0.2366,A,A,A
pr0079,it0434,it0132,-0.0077,B,B,B
pr0080,it0279,it0590,0.0803,A,B,A
pr0081,it0052,it0397,-0.209,B,B,B
pr0082,it0530,it0322,0.1977,A,A,A
pr0083,it0202,it0495,0.1252,A,A,B
pr0084,it0353,it0105,-0.0341,B,A,A
pr0085,it0058,it0437,0.0922,A,A,A
pr0086,it0277,it0094,-0.0153,B,B,A
pr0087,it0470,it0365,-0.0004,B,A,A
pr0088,it0180,it0098,0.2998,A,B,A
pr0089,it0491,it0096,-0.3789,B,B,B
pr0090,it0305,it0393,0.1991,A,A,A
pr0091,it0080,it0346,-0.1879,B,B,B
pr0092,it0251,it0437,0.3016,A,A,A
