order_id,run,judge_score,judge_score_recovered,was_blank,right_call,human_score,human_correct,photo_clarity,fluent_but_wrong,agent_version
ORD-40000,1,8.0,8.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-40007,1,7.0,7.0,False,True,6.0,True,hard to read,False,agent-v2.3
ORD-40014,1,9.0,9.0,False,False,7.0,False,clear photo,True,agent-v2.3
ORD-40021,1,10.0,10.0,False,False,10.0,False,hard to read,True,agent-v2.3
ORD-40028,1,,7.0,True,True,7.0,True,hard to read,False,agent-v2.3
ORD-40035,1,6.0,6.0,False,False,6.0,False,clear photo,False,agent-v2.3
ORD-40042,1,7.0,7.0,False,False,6.0,False,barely readable,False,agent-v2.3
ORD-40049,1,,5.0,True,True,6.0,True,barely readable,False,agent-v2.3
ORD-40056,1,,6.0,True,False,5.0,False,barely readable,False,agent-v2.3
ORD-40063,1,8.0,8.0,False,False,8.0,False,barely readable,True,agent-v2.3
ORD-40070,1,,8.0,True,False,9.0,False,mostly clear,True,agent-v2.3
ORD-40077,1,6.0,6.0,False,False,4.0,False,hard to read,False,agent-v2.3
ORD-40084,1,8.0,8.0,False,True,9.0,True,clear photo,False,agent-v2.3
ORD-40091,1,8.0,8.0,False,True,9.0,True,mostly clear,False,agent-v2.3
ORD-40098,1,,,True,False,6.0,False,barely readable,False,agent-v2.3
ORD-40105,1,6.0,6.0,False,False,6.0,False,hard to read,False,agent-v2.3
ORD-40112,1,7.0,7.0,False,True,8.0,True,mostly clear,False,agent-v2.3
ORD-40119,1,8.0,8.0,False,True,7.0,True,barely readable,False,agent-v2.3
ORD-40126,1,8.0,8.0,False,True,9.0,True,mostly clear,False,agent-v2.3
ORD-40133,1,7.0,7.0,False,False,8.0,True,mostly clear,False,agent-v2.3
ORD-40140,1,,7.0,True,False,4.0,False,barely readable,False,agent-v2.3
ORD-40147,1,,6.0,True,True,8.0,True,barely readable,False,agent-v2.3
ORD-40154,1,7.0,7.0,False,False,4.0,False,barely readable,True,agent-v2.3
ORD-40161,1,4.0,4.0,False,True,4.0,False,hard to read,False,agent-v2.3
ORD-40168,1,7.0,7.0,False,True,9.0,True,hard to read,False,agent-v2.3
ORD-40175,1,7.0,7.0,False,True,9.0,True,clear photo,False,agent-v2.3
ORD-40182,1,5.0,5.0,False,True,8.0,True,hard to read,False,agent-v2.3
ORD-40189,1,6.0,6.0,False,False,6.0,False,hard to read,False,agent-v2.3
ORD-40196,1,6.0,6.0,False,False,4.0,False,hard to read,False,agent-v2.3
ORD-40203,1,7.0,7.0,False,True,6.0,True,hard to read,False,agent-v2.3
ORD-40210,1,7.0,7.0,False,True,8.0,True,clear photo,False,agent-v2.3
ORD-40217,1,6.0,6.0,False,True,8.0,True,mostly clear,False,agent-v2.3
